distance,hour,fare
0.0,0,4.9636817
0.01,0,4.964953
0.02,0,4.9662237
0.03,0,4.967496
0.04,0,4.968767
0.05,0,4.970039
0.06,0,4.9713097
0.07,0,4.9725823
0.08,0,4.9738536
0.09,0,4.975125
0.1,0,4.9763966
0.11,0,4.9776683
0.12,0,4.9789395
0.13,0,4.980211
0.14,0,4.981483
0.15,0,4.9827547
0.16,0,4.984026
0.17,0,4.985297
0.18,0,4.9865694
0.19,0,4.98784
0.2,0,4.989112
0.21,0,4.9903836
0.22,0,4.9916553
0.23,0,4.992927
0.24,0,4.9941983
0.25,0,4.995469
0.26,0,4.996741
0.27,0,4.9980125
0.28,0,4.9992843
0.29,0,5.0005565
0.3,0,5.001827
0.31,0,5.003098
0.32,0,5.00437
0.33,0,5.005642
0.34,0,5.0069137
0.35,0,5.008186
0.36,0,5.009457
0.37,0,5.0107284
0.38,0,5.0119996
0.39,0,5.0132713
0.4,0,5.0145426
0.41,0,5.015815
0.42,0,5.0170856
0.43,0,5.018357
0.44,0,5.019628
0.45,0,5.0209007
0.46,0,5.0221715
0.47,0,5.0234437
0.48,0,5.0247145
0.49,0,5.0259867
0.5,0,5.027258
0.51,0,5.0285296
0.52,0,5.0298014
0.53,0,5.031073
0.54,0,5.0323443
0.55,0,5.0336156
0.56,0,5.035739
0.57,0,5.0404196
0.58,0,5.0450997
0.59,0,5.04978
0.6,0,5.054461
0.61,0,5.0591416
0.62,0,5.0640917
0.63,0,5.069084
0.64,0,5.074077
0.65,0,5.0790696
0.66,0,5.0911527
0.67,0,5.1043205
0.68,0,5.117488
0.69,0,5.1306553
0.7,0,5.1438227
0.71,0,5.1569905
0.72,0,5.1730847
0.73,0,5.1906857
0.74,0,5.2082863
0.75,0,5.2258863
0.76,0,5.2434874
0.77,0,5.261088
0.78,0,5.278689
0.79,0,5.296291
0.8,0,5.31389
0.81,0,5.3314905
0.82,0,5.3490925
0.83,0,5.3666925
0.84,0,5.384294
0.85,0,5.401895
0.86,0,5.4194956
0.87,0,5.437096
0.88,0,5.454696
0.89,0,5.472297
0.9,0,5.489898
0.91,0,5.507499
0.92,0,5.5261354
0.93,0,5.545235
0.94,0,5.5643334
0.95,0,5.5834317
0.96,0,5.602531
0.97,0,5.62163
0.98,0,5.6407285
0.99,0,5.6598268
1.0,0,5.6789265
1.01,0,5.6980247
1.02,0,5.717123
1.03,0,5.7362223
1.04,0,5.7559304
1.05,0,5.7763376
1.06,0,5.7967443
1.07,0,5.8171515
1.08,0,5.837559
1.09,0,5.8579655
1.1,0,5.8783727
1.11,0,5.898779
1.12,0,5.9191866
1.13,0,5.9395943
1.14,0,5.9600005
1.15,0,5.980407
1.16,0,6.000813
1.17,0,6.021221
1.18,0,6.0416284
1.19,0,6.0620356
1.2,0,6.0824423
1.21,0,6.1028485
1.22,0,6.123256
1.23,0,6.143664
1.24,0,6.164069
1.25,0,6.1844773
1.26,0,6.204884
1.27,0,6.2252913
1.28,0,6.245697
1.29,0,6.266105
1.3,0,6.286512
1.31,0,6.306919
1.32,0,6.327326
1.33,0,6.347733
1.34,0,6.3681397
1.35,0,6.388547
1.36,0,6.408954
1.37,0,6.429361
1.38,0,6.449769
1.39,0,6.4715557
1.4,0,6.493407
1.41,0,6.5152555
1.42,0,6.5371056
1.43,0,6.5589547
1.44,0,6.5808043
1.45,0,6.6026545
1.46,0,6.624504
1.47,0,6.646353
1.48,0,6.668203
1.49,0,6.690054
1.5,0,6.7119026
1.51,0,6.7337527
1.52,0,6.755602
1.53,0,6.7774525
1.54,0,6.7993026
1.55,0,6.8213334
1.56,0,6.8441114
1.57,0,6.866889
1.58,0,6.889669
1.59,0,6.9124475
1.6,0,6.938608
1.61,0,6.9657884
1.62,0,6.9870877
1.63,0,7.006444
1.64,0,7.025798
1.65,0,7.0451527
1.66,0,7.064507
1.67,0,7.083803
1.68,0,7.1030407
1.69,0,7.1222787
1.7,0,7.141516
1.71,0,7.1607537
1.72,0,7.1799927
1.73,0,7.1992292
1.74,0,7.2184677
1.75,0,7.2377057
1.76,0,7.256944
1.77,0,7.276181
1.78,0,7.295419
1.79,0,7.314656
1.8,0,7.3338947
1.81,0,7.353133
1.82,0,7.372371
1.83,0,7.3916087
1.84,0,7.4108467
1.85,0,7.4300847
1.86,0,7.449322
1.87,0,7.4685616
1.88,0,7.487798
1.89,0,7.507035
1.9,0,7.5262737
1.91,0,7.5455127
1.92,0,7.564749
1.93,0,7.583987
1.94,0,7.6032248
1.95,0,7.6224637
1.96,0,7.641701
1.97,0,7.6609387
1.98,0,7.6801767
1.99,0,7.6994157
2.0,0,7.7186522
2.01,0,7.7378902
2.02,0,7.7571282
2.03,0,7.776367
2.04,0,7.795604
2.05,0,7.814842
2.06,0,7.8340797
2.07,0,7.853318
2.08,0,7.8725557
2.09,0,7.8917923
2.1,0,7.9110312
2.11,0,7.93027
2.12,0,7.949507
2.13,0,7.968745
2.14,0,7.987984
2.15,0,8.00722
2.16,0,8.026459
2.17,0,8.045695
2.18,0,8.064935
2.19,0,8.084173
2.2,0,8.103411
2.21,0,8.122649
2.22,0,8.141887
2.23,0,8.161125
2.24,0,8.180362
2.25,0,8.197935
2.26,0,8.21538
2.27,0,8.232826
2.28,0,8.250272
2.29,0,8.26813
2.3,0,8.286534
2.31,0,8.304937
2.32,0,8.3233385
2.33,0,8.3417425
2.34,0,8.360144
2.35,0,8.378546
2.36,0,8.39695
2.37,0,8.415354
2.38,0,8.433756
2.39,0,8.452158
2.4,0,8.47056
2.41,0,8.488964
2.42,0,8.507365
2.43,0,8.525767
2.44,0,8.544171
2.45,0,8.562573
2.46,0,8.5809765
2.47,0,8.599379
2.48,0,8.61778
2.49,0,8.636183
