distance,hour,fare
0.0,4,4.1943493
0.01,4,4.1959057
0.02,4,4.1974607
0.03,4,4.1990156
0.04,4,4.200571
0.05,4,4.2021265
0.06,4,4.2036824
0.07,4,4.2052383
0.08,4,4.2067943
0.09,4,4.208349
0.1,4,4.209905
0.11,4,4.211461
0.12,4,4.2130165
0.13,4,4.214571
0.14,4,4.2161274
0.15,4,4.217682
0.16,4,4.2192383
0.17,4,4.2207947
0.18,4,4.22235
0.19,4,4.223905
0.2,4,4.2254605
0.21,4,4.2270164
0.22,4,4.228572
0.23,4,4.230128
0.24,4,4.231683
0.25,4,4.233492
0.26,4,4.2357726
0.27,4,4.2380548
0.28,4,4.240336
0.29,4,4.242617
0.3,4,4.244899
0.31,4,4.2471795
0.32,4,4.2494607
0.33,4,4.2517414
0.34,4,4.2540226
0.35,4,4.2563047
0.36,4,4.258586
0.37,4,4.2608666
0.38,4,4.263148
0.39,4,4.2654295
0.4,4,4.2677107
0.41,4,4.2699924
0.42,4,4.272274
0.43,4,4.2745543
0.44,4,4.2768354
0.45,4,4.279117
0.46,4,4.281398
0.47,4,4.283679
0.48,4,4.285961
0.49,4,4.2882423
0.5,4,4.2905226
0.51,4,4.2928042
0.52,4,4.295086
0.53,4,4.297367
0.54,4,4.2996483
0.55,4,4.30193
0.56,4,4.3042107
0.57,4,4.306808
0.58,4,4.309408
0.59,4,4.3120074
0.6,4,4.3146057
0.61,4,4.3172054
0.62,4,4.319804
0.63,4,4.322404
0.64,4,4.3250027
0.65,4,4.3276024
0.66,4,4.330201
0.67,4,4.3328
0.68,4,4.3353996
0.69,4,4.339595
0.7,4,4.348774
0.71,4,4.357811
0.72,4,4.366848
0.73,4,4.3765054
0.74,4,4.3882623
0.75,4,4.4000187
0.76,4,4.411774
0.77,4,4.4235306
0.78,4,4.4352865
0.79,4,4.4470434
0.8,4,4.4588
0.81,4,4.4705563
0.82,4,4.4823127
0.83,4,4.494069
0.84,4,4.505825
0.85,4,4.5175815
0.86,4,4.5293374
0.87,4,4.541094
0.88,4,4.5528507
0.89,4,4.5646067
0.9,4,4.5763636
0.91,4,4.5881195
0.92,4,4.5998764
0.93,4,4.6116323
0.94,4,4.6233892
0.95,4,4.635145
0.96,4,4.646901
0.97,4,4.658658
0.98,4,4.670415
0.99,4,4.6813493
1.0,4,4.6906962
1.01,4,4.7000427
1.02,4,4.70939
1.03,4,4.7187366
1.04,4,4.7280827
1.05,4,4.7374296
1.06,4,4.7472157
1.07,4,4.7572117
1.08,4,4.7693186
1.09,4,4.781434
1.1,4,4.79355
1.11,4,4.805666
1.12,4,4.8183866
1.13,4,4.8311687
1.14,4,4.8439507
1.15,4,4.8567333
1.16,4,4.869515
1.17,4,4.8822975
1.18,4,4.89508
1.19,4,4.9078608
1.2,4,4.920643
1.21,4,4.9334254
1.22,4,4.946206
1.23,4,4.958989
1.24,4,4.971771
1.25,4,4.984553
1.26,4,4.9973354
1.27,4,5.0101175
1.28,4,5.022899
1.29,4,5.0356812
1.3,4,5.048463
1.31,4,5.061245
1.32,4,5.074027
1.33,4,5.086809
1.34,4,5.0995917
1.35,4,5.1123734
1.36,4,5.1251554
1.37,4,5.1379375
1.38,4,5.150719
1.39,4,5.163501
1.4,4,5.176283
1.41,4,5.189065
1.42,4,5.201846
1.43,4,5.214629
1.44,4,5.2320557
1.45,4,5.254255
1.46,4,5.276456
1.47,4,5.298655
1.48,4,5.3208547
1.49,4,5.3430543
1.5,4,5.3646736
1.51,4,5.386216
1.52,4,5.4077578
1.53,4,5.4293003
1.54,4,5.450843
1.55,4,5.472383
1.56,4,5.4939256
1.57,4,5.515466
1.58,4,5.5370083
1.59,4,5.5585513
1.6,4,5.5800924
1.61,4,5.6028037
1.62,4,5.6261272
1.63,4,5.6494503
1.64,4,5.6727734
1.65,4,5.6960955
1.66,4,5.7194166
1.67,4,5.7427387
1.68,4,5.766061
